,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,erzin,80,TR,1624091603,57,36.9559,36.2,84.72,8.84
314,tuatapere,25,NZ,1624091604,90,-46.1333,167.6833,40.82,3.71
315,fort nelson,0,NL,1624091604,81,52.6517,6.3861,73.63,16.2
316,oranjemund,97,NA,1624091605,26,-28.55,16.4333,76.62,16.53
317,del rio,0,IR,1624091606,17,38.7941,45.0665,85.1,3.36
318,mecca,0,SA,1624091562,11,21.4267,39.8261,109.11,14.74
319,wajima,10,JP,1624091608,100,37.4,136.9,68.68,6.91
320,medea,75,DZ,1624091608,23,36.2642,2.7539,66.65,13.53
321,yarmouth,30,US,1624091609,76,41.7057,-70.2286,67.44,11.99
322,edea,75,CM,1624091610,80,3.8,10.1333,80.38,0.89
323,sioux lookout,74,US,1624091610,49,42.7333,-96.2336,69.71,10.36
324,kununurra,1,AU,1624091611,23,-15.7667,128.7333,84.18,8.05
325,vanimo,22,PG,1624091612,84,-2.6741,141.3028,79.02,4.83
326,ostrovnoy,27,RU,1624091613,93,68.0531,39.5131,44.1,15.59
327,abhar,100,IR,1624091614,17,36.1468,49.218,86.67,19.44
328,lobito,0,AO,1624091614,61,-12.3481,13.5456,78.8,3.87
329,mahibadhoo,4,MV,1624091615,75,3.7833,72.9667,83.37,13.47
330,verkhnevilyuysk,61,RU,1624091616,37,63.4453,120.3167,80.76,2.51
331,deputatskiy,99,RU,1624091617,28,69.3,139.9,75.33,5.12
332,nakamura,100,JP,1624091617,68,32.9833,132.9333,79.63,6.62
333,valdivia,89,CL,1624091475,97,-39.8142,-73.2459,32.09,1.03
334,mayo,5,US,1624091618,60,38.8876,-76.5119,75.61,3.44
335,mindelo,1,CV,1624091620,73,16.8901,-24.9804,72.95,20.71
336,san isidro,20,ML,1624091599,42,13.3034,-4.8956,89.92,14.43
337,soure,80,BR,1624091603,86,-0.7167,-48.5233,77.34,10.71
338,jimenez,30,MX,1624091621,33,28.3333,-105.4,74.44,7.4
339,reconquista,2,AR,1624091622,76,-29.15,-59.65,49.44,7.63
340,ambon,100,ID,1624091623,78,-3.6954,128.1814,80.74,4.61
341,port lincoln,40,CD,1624091373,54,-7.0349,29.7638,77.68,12.8
342,lorengau,12,PG,1624091624,74,-2.0226,147.2712,81.18,3.85
343,benoy,18,TD,1624091625,46,8.9833,16.3199,82.45,8.77
344,riyadh,100,SA,1624091361,9,24.6877,46.7219,102.34,16.11
345,gat,0,IL,1624091626,37,31.61,34.7642,82.78,11.41
346,taoudenni,0,ML,1624091627,11,22.6783,-3.9836,100.44,13.69
347,sibu,39,MY,1624091628,74,2.3,111.8167,86.31,3.0
348,shingu,40,JP,1624091629,98,33.7333,135.9833,74.39,2.26
349,save,100,BJ,1624091629,62,8.0425,2.486,84.79,5.55
350,dasoguz,65,TM,1624091630,17,41.8363,59.9666,95.11,18.41
351,gizo,0,SB,1624091631,73,-8.103,156.8419,82.36,5.26
352,mbandaka,5,CD,1624091632,64,0.0487,18.2603,81.77,2.89
353,ahipara,88,NZ,1624091633,90,-35.1667,173.1667,60.58,11.01
354,batagay-alyta,100,RU,1624091634,27,67.8006,130.4114,78.12,9.35
355,peterhead,100,GB,1624091635,74,57.5058,-1.7981,59.11,8.32
356,naze,93,JP,1624091635,86,28.3667,129.4833,77.92,7.05
357,grindavik,96,IS,1624091636,81,63.8424,-22.4338,45.07,5.75
358,egvekinot,75,RU,1624091637,85,66.3167,-179.1667,38.59,2.86
359,novyy urengoy,77,RU,1624091637,57,45.0072,38.9819,88.11,3.0
360,georgetown,0,MY,1624091383,78,5.4112,100.3354,87.75,5.75
361,pimentel,40,PE,1624091639,84,-6.8367,-79.9342,66.0,1.99
362,grimshaw,68,CA,1624091639,93,56.1834,-117.6027,52.5,11.5
363,port hardy,75,CD,1624091363,54,-7.0349,29.7638,77.68,12.8
364,martapura,12,ID,1624091640,88,-3.4167,114.85,75.29,9.22
365,filadelfia,75,US,1624091561,89,39.9523,-75.1638,70.99,1.01
366,grand gaube,75,US,1624091642,39,38.8755,-109.5012,81.59,2.1
367,dongsheng,100,CN,1624091642,12,39.8161,109.9776,82.53,20.87
368,colares,28,PT,1624091643,79,38.7992,-9.4469,64.45,18.01
369,altamira,40,BR,1624091644,100,-3.2033,-52.2064,70.81,2.51
